date,open,high,low,close,volume
2025-07-01,100.0,101.5,99.5,101.0,10000
2025-07-02,101.0,102.2,100.2,102.0,10500
2025-07-03,102.0,103.0,101.0,102.5,9800
2025-07-04,102.5,104.0,102.0,103.5,9900
2025-07-05,103.5,104.2,102.8,103.0,10100
2025-07-06,103.0,105.0,103.0,104.8,12000
2025-07-07,104.8,105.2,104.0,104.5,11000
2025-07-08,104.5,105.0,103.5,104.0,11500
2025-07-09,104.0,105.5,103.0,105.0,11200
2025-07-10,105.0,105.8,104.5,105.5,10800
2025-07-11,105.5,106.5,104.5,105.0,9500
2025-07-12,105.0,106.0,104.0,104.8,9700
2025-07-13,104.8,105.3,104.2,105.2,9300
2025-07-14,105.2,106.0,104.8,105.8,9200
2025-07-15,105.8,107.0,105.0,106.5,11100
2025-07-16,106.5,108.0,106.0,107.8,11500
2025-07-17,107.8,109.0,107.0,108.5,11800
2025-07-18,108.5,109.5,108.0,108.8,12300
2025-07-19,108.8,110.0,108.5,109.5,11900
2025-07-20,109.5,111.0,109.0,110.5,12500
2025-07-21,110.5,112.0,110.0,111.5,13000
2025-07-22,111.5,112.5,110.5,112.0,12700
2025-07-23,112.0,113.0,111.0,112.5,12800
2025-07-24,112.5,113.5,111.5,113.0,12900
2025-07-25,113.0,114.0,112.0,113.5,13300
2025-07-26,113.5,114.5,113.0,114.0,13400
2025-07-27,114.0,115.2,113.5,114.8,13600
2025-07-28,114.8,115.8,114.0,115.0,13100
2025-07-29,115.0,116.0,114.5,115.8,13700
2025-07-30,115.8,116.5,115.0,116.0,13800
2025-07-31,116.0,117.0,115.5,116.8,14000
